id,date,type,status,counterparty_type,supplier,shipment,item,reason_code,closed_date,amount_filed,amount_paid,days_open
41,2025-03-14,deduction,resolved,supplier,4,41,9,late_delivery,2025-03-28,442.94,142.36,14.33
42,2026-06-09,warranty,approved,customer,7,42,12,spec_fail,2026-06-29,2448.21,925.43,6.86
43,2025-02-01,chargeback,approved,supplier,12,43,9,concealed_damage,2025-03-09,2362.87,1170.57,24.38
44,2024-09-12,deduction,resolved,customer,2,44,14,temperature_excursion,2024-09-20,3024.58,2216.41,16.33
45,2026-01-15,warranty,denied,carrier,10,45,2,short_ship,2026-01-19,3046.21,0.0,3.71
46,2025-12-11,damage,resolved,supplier,2,46,8,concealed_damage,2026-01-14,626.59,363.92,1.17
47,2026-07-24,damage,open,supplier,11,47,9,temperature_excursion,,2085.98,0.0,19.0
48,2025-07-15,shortage,denied,carrier,12,48,10,spec_fail,2025-08-26,2975.99,0.0,6.81
49,2026-03-16,shortage,resolved,supplier,11,49,3,temperature_excursion,2026-04-12,1107.42,821.81,21.19
50,2025-05-20,damage,approved,carrier,1,50,9,short_ship,2025-06-24,2295.59,2265.28,6.06
51,2026-05-25,damage,approved,customer,12,51,2,late_delivery,2026-07-05,3442.36,2358.71,22.43
52,2025-09-21,warranty,resolved,customer,1,52,2,short_ship,2025-09-24,1509.26,125.87,12.0
53,2026-06-17,shortage,approved,customer,3,53,8,concealed_damage,2026-07-12,2425.69,1044.26,2.59
54,2025-02-18,insurance,denied,supplier,4,54,5,late_delivery,2025-04-01,1474.48,0.0,7.7
55,2025-06-13,insurance,denied,customer,6,55,2,temperature_excursion,2025-07-09,1560.91,0.0,13.35
56,2024-08-26,damage,approved,customer,1,56,14,temperature_excursion,2024-09-27,2264.65,38.5,14.07
57,2026-03-17,deduction,denied,carrier,9,57,2,late_delivery,2026-04-04,2325.63,0.0,2.02
58,2025-08-05,deduction,open,carrier,2,58,2,late_delivery,,3321.23,0.0,25.53
59,2025-02-12,damage,approved,customer,14,59,6,short_ship,2025-02-14,2355.32,2151.12,4.94
60,2026-04-30,damage,open,supplier,1,60,13,spec_fail,,684.98,0.0,25.41
61,2026-03-20,shortage,resolved,customer,7,61,14,short_ship,2026-05-02,1111.04,699.4,29.02
62,2025-11-14,shortage,resolved,carrier,14,62,9,spec_fail,2025-12-01,2243.43,424.23,27.7
63,2025-07-27,insurance,approved,carrier,9,63,12,concealed_damage,2025-08-30,3419.62,1110.69,21.11
64,2026-01-12,shortage,resolved,carrier,4,64,12,spec_fail,2026-01-14,1289.26,72.46,16.45
65,2024-11-25,deduction,denied,supplier,12,65,14,short_ship,2024-12-31,1361.6,0.0,5.82
66,2025-07-15,insurance,approved,carrier,6,66,13,concealed_damage,2025-08-27,2449.32,355.4,8.54
67,2025-08-08,damage,resolved,carrier,9,67,7,concealed_damage,2025-09-19,383.77,290.47,20.03
68,2025-07-23,insurance,denied,carrier,1,68,6,concealed_damage,2025-08-31,2127.29,0.0,15.87
69,2024-10-07,shortage,open,customer,13,69,4,spec_fail,,2441.32,0.0,4.96
70,2026-04-03,warranty,denied,customer,2,70,7,late_delivery,2026-04-21,3603.94,0.0,29.26
71,2025-06-28,insurance,approved,customer,6,71,2,late_delivery,2025-07-03,2269.48,1513.29,1.62
72,2025-04-08,shortage,resolved,supplier,7,72,7,concealed_damage,2025-05-03,2662.47,1475.81,3.47
73,2026-04-15,shortage,denied,supplier,7,73,4,late_delivery,2026-05-23,512.54,0.0,14.98
74,2025-10-04,warranty,approved,carrier,5,74,14,temperature_excursion,2025-11-05,320.58,159.07,14.73
75,2025-11-28,shortage,denied,carrier,11,75,10,concealed_damage,2026-01-12,388.24,0.0,4.67
76,2026-07-22,damage,denied,customer,14,76,10,short_ship,2026-08-14,3439.34,0.0,6.69
77,2026-06-17,warranty,approved,carrier,12,77,2,temperature_excursion,2026-07-03,2103.92,1615.18,4.98
78,2025-08-04,chargeback,open,customer,1,78,1,concealed_damage,,2247.91,0.0,20.95
79,2025-08-26,warranty,approved,carrier,11,79,10,short_ship,2025-10-07,1825.09,1165.14,29.82
80,2025-01-08,insurance,denied,supplier,4,80,2,temperature_excursion,2025-02-20,652.92,0.0,10.34
81,2026-03-13,chargeback,open,supplier,4,81,5,short_ship,,1416.48,0.0,7.59
82,2025-07-07,deduction,denied,customer,9,82,13,temperature_excursion,2025-08-17,2913.46,0.0,3.22
83,2025-06-22,warranty,approved,customer,2,83,6,late_delivery,2025-07-08,1909.38,988.68,1.6
84,2024-12-03,shortage,denied,customer,3,84,12,short_ship,2025-01-02,1778.9,0.0,21.17
85,2026-01-08,shortage,open,customer,9,85,8,short_ship,,2214.41,0.0,14.41
86,2024-11-25,chargeback,approved,carrier,2,86,5,late_delivery,2024-12-28,3416.37,2584.49,26.29
87,2024-09-09,shortage,resolved,customer,11,87,5,spec_fail,2024-10-07,534.18,191.83,27.74
88,2025-01-29,warranty,resolved,supplier,11,88,14,late_delivery,2025-03-05,3809.34,700.54,8.34
89,2025-03-08,insurance,denied,customer,10,89,10,late_delivery,2025-03-10,2618.88,0.0,16.58
90,2025-10-07,damage,approved,customer,8,90,12,concealed_damage,2025-10-20,200.15,157.28,26.58
91,2025-03-25,warranty,denied,supplier,8,91,12,late_delivery,2025-04-10,3836.13,0.0,25.53
92,2026-05-10,insurance,approved,customer,13,92,11,short_ship,2026-05-29,3706.58,1747.28,22.85
93,2024-11-05,chargeback,approved,carrier,10,93,13,concealed_damage,2024-12-04,2438.42,2372.59,29.52
94,2026-06-09,warranty,open,carrier,11,94,8,concealed_damage,,67.62,0.0,24.87
95,2025-09-24,warranty,denied,supplier,7,95,2,short_ship,2025-10-04,3558.76,0.0,19.29
96,2024-08-16,warranty,denied,customer,11,96,14,late_delivery,2024-09-23,3899.19,0.0,2.28
97,2026-01-29,shortage,approved,carrier,10,97,13,spec_fail,2026-03-08,466.92,286.18,7.23
98,2025-09-10,shortage,denied,supplier,8,98,12,short_ship,2025-10-02,100.49,0.0,2.46
99,2026-07-17,deduction,resolved,supplier,11,99,10,short_ship,2026-08-05,3204.43,1208.07,8.03
100,2025-11-09,deduction,open,supplier,10,100,7,concealed_damage,,736.58,0.0,15.56
101,2025-10-02,warranty,approved,carrier,9,101,12,concealed_damage,2025-11-04,2252.43,650.5,16.9
102,2025-10-01,damage,resolved,carrier,2,102,14,late_delivery,2025-10-21,3395.0,1754.19,29.68
103,2026-02-14,chargeback,approved,customer,8,103,14,short_ship,2026-03-02,249.91,87.24,3.39
104,2025-04-14,chargeback,resolved,carrier,5,104,9,concealed_damage,2025-05-14,2706.56,2404.77,11.4
105,2025-01-21,deduction,approved,carrier,4,105,1,late_delivery,2025-02-15,1251.12,442.27,4.84
106,2025-10-25,warranty,resolved,supplier,5,106,10,late_delivery,2025-11-15,3115.79,1308.32,7.82
107,2025-04-09,damage,approved,carrier,1,107,14,short_ship,2025-04-16,389.6,342.11,13.01
108,2026-01-09,warranty,approved,customer,7,108,7,concealed_damage,2026-01-12,2694.15,2685.8,6.95
109,2026-07-07,chargeback,approved,supplier,9,109,11,spec_fail,2026-07-14,1034.4,944.61,14.41
110,2026-05-05,damage,resolved,supplier,1,110,2,spec_fail,2026-05-25,469.31,208.65,14.48
111,2025-06-23,shortage,open,customer,2,111,4,concealed_damage,,2554.05,0.0,10.98
112,2025-08-24,insurance,resolved,carrier,10,112,12,concealed_damage,2025-09-04,2748.28,1101.79,4.72
113,2024-11-29,chargeback,resolved,customer,11,113,5,temperature_excursion,2024-12-11,55.88,11.59,20.48
114,2026-05-20,damage,resolved,customer,9,114,2,late_delivery,2026-05-21,3640.89,3526.93,4.71
115,2024-09-30,insurance,approved,supplier,7,115,9,concealed_damage,2024-10-13,559.7,113.11,5.28
116,2025-04-16,insurance,approved,customer,9,116,1,temperature_excursion,2025-05-02,2116.9,1936.96,10.26
117,2026-01-06,shortage,approved,customer,6,117,1,short_ship,2026-02-18,966.6,250.54,4.8
118,2026-01-30,shortage,resolved,customer,9,118,13,temperature_excursion,2026-02-18,664.66,421.53,28.53
119,2025-03-06,shortage,approved,carrier,9,119,5,late_delivery,2025-03-31,3446.32,547.27,15.89
120,2024-10-01,insurance,resolved,supplier,5,120,1,late_delivery,2024-10-14,837.63,331.54,15.87
121,2026-07-14,insurance,approved,supplier,12,121,14,concealed_damage,2026-07-21,2570.54,2340.99,9.16
122,2025-08-01,warranty,open,customer,6,122,7,short_ship,,2418.75,0.0,14.71
123,2025-01-02,insurance,open,customer,3,123,13,concealed_damage,,3025.03,0.0,1.52
124,2025-01-23,deduction,resolved,supplier,3,124,14,short_ship,2025-02-28,3663.88,2976.17,21.69
125,2025-10-25,shortage,open,carrier,2,125,3,concealed_damage,,3231.56,0.0,5.35
126,2024-10-11,chargeback,denied,customer,8,126,10,short_ship,2024-11-23,3669.65,0.0,21.03
127,2026-06-29,chargeback,resolved,supplier,13,127,12,temperature_excursion,2026-07-03,2434.68,837.77,10.23
128,2025-06-20,warranty,open,carrier,14,128,5,spec_fail,,1347.87,0.0,22.16
129,2025-09-13,warranty,resolved,customer,3,129,7,temperature_excursion,2025-10-27,2026.29,1474.74,28.67
130,2025-05-02,deduction,open,customer,7,130,10,short_ship,,149.93,0.0,16.96
131,2026-01-12,shortage,denied,carrier,10,131,13,spec_fail,2026-01-22,3061.36,0.0,4.38
132,2026-06-05,chargeback,open,supplier,3,132,11,late_delivery,,2089.84,0.0,29.2
133,2025-05-19,deduction,approved,supplier,14,133,13,temperature_excursion,2025-05-20,78.93,70.49,20.35
134,2024-11-30,deduction,denied,carrier,4,134,1,temperature_excursion,2024-12-09,1598.68,0.0,17.66
135,2025-03-26,damage,denied,supplier,10,135,5,concealed_damage,2025-05-05,1945.44,0.0,16.81
136,2026-01-27,insurance,resolved,carrier,11,136,2,spec_fail,2026-03-08,3672.47,3079.74,21.02
137,2025-09-26,chargeback,open,customer,11,137,14,late_delivery,,3531.11,0.0,10.17
138,2026-04-13,chargeback,open,carrier,2,138,10,short_ship,,2135.92,0.0,12.23
139,2026-06-26,chargeback,open,carrier,5,139,2,late_delivery,,3728.24,0.0,23.53
140,2025-12-22,damage,resolved,supplier,7,140,3,short_ship,2026-01-16,66.95,36.62,26.21
141,2024-08-17,deduction,resolved,carrier,13,141,11,concealed_damage,2024-08-21,96.96,14.55,5.18
142,2026-07-20,warranty,denied,customer,3,142,11,temperature_excursion,2026-08-25,767.53,0.0,21.87
143,2025-03-31,insurance,open,carrier,6,143,5,late_delivery,,437.95,0.0,16.21
144,2025-04-20,insurance,denied,supplier,12,144,1,temperature_excursion,2025-05-15,2798.98,0.0,2.56
145,2024-10-14,damage,denied,carrier,9,145,5,temperature_excursion,2024-11-13,874.91,0.0,22.22
146,2026-01-10,shortage,approved,customer,3,146,7,short_ship,2026-01-12,80.74,35.14,15.53
147,2026-02-20,warranty,approved,supplier,6,147,6,spec_fail,2026-04-06,191.31,82.38,14.58
148,2026-06-09,damage,open,supplier,4,148,4,short_ship,,3788.65,0.0,5.33
149,2025-04-04,deduction,denied,customer,14,149,4,late_delivery,2025-05-02,1579.21,0.0,24.34
150,2025-06-10,warranty,approved,customer,3,150,6,concealed_damage,2025-07-23,1954.79,750.44,21.31
151,2025-08-19,warranty,open,customer,13,151,12,short_ship,,1174.85,0.0,23.95
152,2024-12-20,damage,resolved,carrier,2,152,6,temperature_excursion,2025-01-21,3275.0,2039.34,22.51
153,2026-02-10,chargeback,open,customer,8,153,6,concealed_damage,,1604.46,0.0,18.06
154,2026-05-21,deduction,open,carrier,10,154,4,short_ship,,2125.66,0.0,20.3
155,2025-11-20,shortage,approved,supplier,10,155,9,late_delivery,2025-12-03,2742.84,1816.86,7.35
156,2026-07-28,deduction,open,carrier,11,156,9,short_ship,,1298.61,0.0,19.17
157,2024-10-24,chargeback,denied,supplier,2,157,12,temperature_excursion,2024-11-10,521.3,0.0,17.6
158,2025-03-21,deduction,denied,carrier,2,158,1,temperature_excursion,2025-04-26,2597.38,0.0,29.42
159,2025-08-24,shortage,resolved,supplier,3,159,3,short_ship,2025-09-15,2074.97,513.35,19.38
160,2026-04-10,insurance,resolved,customer,9,160,4,concealed_damage,2026-05-06,2053.3,341.26,7.9
161,2025-06-13,deduction,resolved,customer,1,161,8,concealed_damage,2025-07-28,1361.52,125.26,23.46
162,2024-08-15,insurance,open,customer,1,162,1,spec_fail,,348.47,0.0,16.24
163,2026-04-16,chargeback,denied,supplier,2,163,10,late_delivery,2026-05-12,98.73,0.0,23.86
164,2025-10-09,deduction,open,customer,5,164,14,concealed_damage,,1947.94,0.0,8.27
165,2025-02-03,chargeback,approved,carrier,2,165,7,temperature_excursion,2025-02-07,2018.67,1495.23,27.19
166,2025-04-28,chargeback,resolved,carrier,6,166,6,short_ship,2025-05-17,1771.07,251.67,19.08
167,2026-07-26,damage,approved,customer,10,167,14,spec_fail,2026-09-03,1648.5,1623.61,14.43
168,2026-05-22,damage,approved,customer,3,168,9,short_ship,2026-06-03,1881.07,678.69,7.21
169,2024-10-19,deduction,open,customer,11,169,2,spec_fail,,66.19,0.0,29.4
170,2026-06-11,warranty,approved,carrier,14,170,10,concealed_damage,2026-07-03,524.06,92.97,11.09
171,2025-07-18,chargeback,open,customer,4,171,14,late_delivery,,113.55,0.0,4.0
172,2025-09-19,shortage,open,supplier,6,172,5,concealed_damage,,3868.19,0.0,8.59
173,2024-09-19,deduction,resolved,carrier,11,173,10,concealed_damage,2024-10-18,1312.94,570.21,5.18
174,2025-07-09,chargeback,approved,carrier,2,174,12,short_ship,2025-07-14,708.96,663.23,5.59
175,2024-09-10,shortage,resolved,carrier,2,175,6,spec_fail,2024-09-11,1325.13,744.85,24.1
176,2026-04-08,chargeback,open,customer,11,176,13,late_delivery,,184.52,0.0,9.18
177,2024-12-10,shortage,resolved,carrier,11,177,12,temperature_excursion,2024-12-30,616.91,596.24,19.31
178,2026-02-20,warranty,denied,carrier,11,178,13,concealed_damage,2026-03-30,1289.12,0.0,11.01
179,2025-09-02,insurance,approved,customer,11,179,7,temperature_excursion,2025-10-11,188.36,12.53,8.53
180,2025-05-19,shortage,open,customer,7,180,5,concealed_damage,,1053.55,0.0,6.2
181,2026-02-06,insurance,approved,supplier,4,181,8,spec_fail,2026-03-07,3443.48,509.29,18.76
182,2024-09-03,deduction,denied,supplier,6,182,13,temperature_excursion,2024-09-22,1336.3,0.0,10.53
183,2025-12-18,damage,denied,supplier,12,183,3,concealed_damage,2026-01-11,630.59,0.0,27.33
184,2024-10-22,chargeback,resolved,supplier,10,184,6,spec_fail,2024-11-01,382.07,270.73,16.29
185,2026-04-04,damage,denied,supplier,7,185,1,short_ship,2026-04-05,2736.13,0.0,8.97
186,2026-04-23,damage,approved,supplier,8,186,8,spec_fail,2026-05-22,3019.19,2537.02,29.75
187,2025-03-20,shortage,open,carrier,8,187,8,temperature_excursion,,1127.3,0.0,25.86
188,2025-12-18,chargeback,approved,customer,7,188,11,spec_fail,2026-01-14,3247.11,1559.59,4.71
189,2024-11-14,chargeback,open,customer,9,189,1,temperature_excursion,,681.52,0.0,2.02
190,2024-11-04,chargeback,resolved,carrier,12,190,12,concealed_damage,2024-11-20,343.05,299.62,14.34
191,2025-06-20,damage,open,carrier,14,191,8,spec_fail,,104.08,0.0,7.84
192,2026-03-06,chargeback,approved,customer,5,192,3,late_delivery,2026-03-11,813.63,439.77,26.94
193,2024-10-04,insurance,approved,customer,13,193,6,concealed_damage,2024-11-13,3027.47,1620.6,2.65
194,2025-04-02,insurance,resolved,carrier,11,194,8,spec_fail,2025-04-12,1951.87,1388.17,27.69
195,2025-06-24,insurance,resolved,carrier,4,195,3,spec_fail,2025-07-18,224.13,99.42,22.25
196,2024-09-25,warranty,resolved,supplier,7,196,14,short_ship,2024-11-09,3687.63,956.57,26.86
197,2025-11-17,deduction,approved,customer,11,197,6,concealed_damage,2025-12-23,3375.0,1676.03,8.41
198,2025-05-15,chargeback,approved,supplier,3,198,11,late_delivery,2025-06-01,780.81,713.43,27.44
199,2024-10-10,warranty,open,customer,2,199,8,late_delivery,,2497.92,0.0,22.52
200,2026-06-02,deduction,open,customer,2,200,7,spec_fail,,1241.48,0.0,5.43
201,2025-11-04,insurance,denied,supplier,10,201,11,late_delivery,2025-12-06,3036.82,0.0,25.39
202,2025-12-18,deduction,resolved,carrier,13,202,1,short_ship,2025-12-20,2965.96,149.48,10.84
203,2025-01-21,damage,denied,supplier,1,203,10,concealed_damage,2025-02-23,3336.57,0.0,6.11
204,2026-03-20,chargeback,open,customer,14,204,4,concealed_damage,,2515.71,0.0,4.58
205,2025-09-02,damage,denied,supplier,5,205,2,temperature_excursion,2025-09-29,1896.41,0.0,23.17
206,2024-10-21,damage,approved,supplier,5,206,2,concealed_damage,2024-10-29,2547.94,2202.44,14.19
207,2026-06-21,warranty,approved,customer,11,207,12,concealed_damage,2026-07-12,3425.14,1331.69,3.59
208,2026-07-10,chargeback,open,customer,1,208,7,spec_fail,,2556.76,0.0,17.68
209,2026-02-19,chargeback,open,supplier,12,209,11,temperature_excursion,,3604.96,0.0,22.75
210,2025-05-01,warranty,open,customer,4,210,6,spec_fail,,1297.6,0.0,27.67
211,2024-08-24,insurance,approved,carrier,3,211,3,late_delivery,2024-09-05,1842.48,1421.48,15.64
212,2024-11-01,warranty,denied,supplier,7,212,9,short_ship,2024-12-02,2796.81,0.0,10.41
213,2026-07-13,insurance,open,carrier,3,213,6,short_ship,,3268.96,0.0,14.63
214,2026-03-23,insurance,denied,supplier,14,214,11,spec_fail,2026-04-07,2409.19,0.0,15.22
215,2024-08-05,chargeback,resolved,supplier,7,215,3,temperature_excursion,2024-08-11,1898.02,819.0,16.68
216,2025-06-16,damage,denied,carrier,13,216,7,concealed_damage,2025-06-23,1158.91,0.0,5.24
217,2024-11-01,damage,open,carrier,7,217,7,spec_fail,,1240.06,0.0,15.99
218,2024-09-05,warranty,resolved,carrier,9,218,13,temperature_excursion,2024-09-08,618.53,253.16,21.59
219,2025-02-23,warranty,open,customer,10,219,11,late_delivery,,392.83,0.0,18.07
220,2025-11-29,damage,approved,carrier,5,220,6,late_delivery,2025-12-26,2403.71,713.66,27.76
221,2026-03-16,damage,approved,customer,9,221,2,concealed_damage,2026-04-22,1101.34,101.65,19.36
222,2025-12-26,chargeback,open,carrier,1,222,9,spec_fail,,3358.16,0.0,18.82
223,2026-03-06,shortage,resolved,customer,10,223,14,spec_fail,2026-03-16,3588.94,1795.9,9.01
224,2025-04-07,warranty,open,supplier,2,224,9,short_ship,,203.82,0.0,2.28
225,2024-11-05,deduction,denied,carrier,5,225,9,temperature_excursion,2024-11-18,3549.34,0.0,23.67
226,2024-12-11,damage,approved,supplier,8,226,8,temperature_excursion,2024-12-15,2545.88,2182.08,14.74
227,2025-09-18,chargeback,denied,supplier,3,227,11,temperature_excursion,2025-09-26,2306.24,0.0,10.64
228,2026-06-11,damage,approved,customer,2,228,14,concealed_damage,2026-07-07,3306.76,880.59,7.94
229,2025-07-05,damage,approved,supplier,4,229,11,late_delivery,2025-07-25,3682.2,1606.91,3.12
230,2026-06-23,shortage,approved,carrier,13,230,11,temperature_excursion,2026-06-24,541.98,175.38,29.75
231,2026-03-25,warranty,denied,customer,14,231,7,short_ship,2026-03-30,182.12,0.0,18.23
232,2025-01-09,deduction,open,customer,11,232,9,temperature_excursion,,3709.99,0.0,12.87
233,2025-09-18,shortage,denied,carrier,7,233,3,spec_fail,2025-09-27,2229.26,0.0,8.22
234,2025-06-05,shortage,resolved,supplier,7,234,14,short_ship,2025-07-09,1957.94,129.22,12.63
235,2026-03-06,shortage,approved,customer,13,235,8,short_ship,2026-03-09,2592.75,2139.53,13.27
236,2026-02-26,chargeback,open,supplier,12,236,7,late_delivery,,2109.37,0.0,20.65
237,2025-10-27,shortage,denied,carrier,11,237,7,temperature_excursion,2025-11-14,2560.89,0.0,5.72
238,2025-07-05,chargeback,resolved,customer,13,238,12,short_ship,2025-08-07,960.15,917.62,23.38
239,2025-11-26,damage,resolved,customer,1,239,12,late_delivery,2025-11-27,2826.47,1492.94,13.29
240,2025-04-04,chargeback,denied,carrier,10,240,10,short_ship,2025-05-18,1882.19,0.0,27.34
241,2024-10-17,warranty,open,carrier,11,241,7,temperature_excursion,,3594.83,0.0,2.93
242,2026-04-06,shortage,denied,carrier,7,242,2,temperature_excursion,2026-05-16,2324.46,0.0,27.18
243,2024-10-16,shortage,denied,carrier,12,243,12,spec_fail,2024-11-21,2197.76,0.0,26.85
244,2025-11-17,chargeback,denied,supplier,2,244,5,short_ship,2026-01-01,3312.16,0.0,26.17
245,2026-04-14,shortage,resolved,carrier,10,245,6,concealed_damage,2026-04-27,2021.56,1416.91,10.12
246,2026-01-01,warranty,open,carrier,8,246,12,short_ship,,897.67,0.0,21.42
247,2025-09-15,warranty,approved,supplier,10,247,13,spec_fail,2025-09-16,216.44,200.29,18.65
248,2025-11-27,insurance,approved,customer,13,248,13,temperature_excursion,2026-01-10,425.17,348.34,18.93
249,2024-10-17,damage,open,supplier,1,249,2,temperature_excursion,,535.5,0.0,24.58
250,2024-09-24,shortage,open,carrier,5,250,6,temperature_excursion,,1730.16,0.0,28.51
251,2025-01-30,chargeback,open,carrier,1,251,9,temperature_excursion,,1040.47,0.0,17.79
252,2026-06-16,insurance,approved,customer,3,252,7,temperature_excursion,2026-07-14,318.76,217.88,14.76
253,2026-05-16,warranty,denied,customer,4,253,6,temperature_excursion,2026-06-27,375.57,0.0,3.39
254,2025-07-31,deduction,open,carrier,10,254,7,late_delivery,,187.2,0.0,27.1
255,2024-12-15,warranty,approved,carrier,9,255,1,temperature_excursion,2024-12-26,1745.95,1694.27,23.01
256,2025-11-21,chargeback,denied,supplier,4,256,7,late_delivery,2025-12-17,2587.82,0.0,10.17
257,2025-01-07,shortage,denied,customer,3,257,7,late_delivery,2025-02-17,1321.01,0.0,4.12
258,2025-03-31,insurance,resolved,supplier,3,258,2,concealed_damage,2025-04-16,496.82,24.89,28.35
259,2026-06-01,deduction,approved,carrier,3,259,6,short_ship,2026-06-19,384.4,69.31,28.32
260,2024-09-23,insurance,denied,carrier,9,260,13,concealed_damage,2024-09-30,438.32,0.0,2.81
261,2024-10-31,deduction,open,customer,13,261,12,spec_fail,,273.92,0.0,27.46
262,2024-10-31,warranty,open,supplier,10,262,12,spec_fail,,3491.08,0.0,3.1
263,2025-06-10,shortage,denied,supplier,8,263,14,temperature_excursion,2025-06-17,1295.68,0.0,18.65
264,2025-05-07,insurance,denied,carrier,2,264,11,late_delivery,2025-06-03,550.53,0.0,9.98
265,2024-08-24,warranty,open,customer,14,265,8,short_ship,,1943.13,0.0,10.09
266,2025-06-03,warranty,approved,carrier,8,266,14,concealed_damage,2025-07-17,2210.64,2013.23,25.59
267,2025-06-18,shortage,resolved,supplier,7,267,11,spec_fail,2025-07-31,2114.43,1919.69,21.37
268,2026-07-30,deduction,denied,customer,5,268,13,spec_fail,2026-08-24,87.71,0.0,9.67
269,2025-11-20,chargeback,approved,supplier,7,269,9,temperature_excursion,2025-12-20,118.17,59.91,12.54
270,2026-07-12,shortage,approved,supplier,5,270,8,short_ship,2026-08-15,3539.22,2352.52,21.86
271,2026-01-26,warranty,denied,supplier,5,271,13,spec_fail,2026-02-27,3569.04,0.0,28.92
272,2025-12-31,chargeback,approved,customer,14,272,14,concealed_damage,2026-02-09,818.2,136.48,22.91
273,2026-03-04,insurance,denied,supplier,4,273,5,late_delivery,2026-03-06,3024.57,0.0,19.09
274,2024-09-29,insurance,approved,customer,9,274,9,concealed_damage,2024-10-08,2563.25,2156.21,8.94
