id,date,supplier,warehouse,status,expected_date,total
115,2025-04-07,4,5,received,2025-04-14,88257.89
116,2024-11-08,1,2,received,2024-11-27,38085.74
117,2024-09-18,1,14,received,2024-09-28,43796.89
118,2025-03-31,5,5,received,2025-04-19,31227.95
119,2026-06-02,11,4,received,2026-06-06,20671.14
120,2025-04-23,6,4,received,2025-04-29,24725.21
121,2025-06-27,12,5,received,2025-07-06,35519.88
122,2025-06-11,3,1,received,2025-06-23,47186.24
123,2026-05-07,8,9,open,2026-05-21,44051.76
124,2026-01-15,7,7,received,2026-01-19,15463.14
125,2024-10-29,3,10,open,2024-11-07,49312.62
126,2025-10-14,7,6,open,2025-10-20,19627.1
127,2026-01-28,5,11,open,2026-02-02,48748.07
128,2026-04-22,7,10,open,2026-04-29,20811.3
129,2025-12-25,14,12,received,2025-12-30,83416.25
130,2026-02-09,4,7,open,2026-02-16,38806.54
131,2025-04-24,9,9,received,2025-05-08,26019.48
132,2025-05-21,8,4,received,2025-05-29,24948.99
133,2025-11-18,5,8,received,2025-11-21,25822.73
134,2025-07-21,1,14,open,2025-07-25,56676.22
135,2024-09-20,7,11,open,2024-10-05,42828.33
136,2024-12-24,2,2,received,2025-01-10,39273.47
137,2024-10-15,8,11,open,2024-10-27,24740.86
138,2024-08-12,12,11,received,2024-08-26,44464.89
139,2025-02-17,1,1,received,2025-02-24,38186.72
140,2025-04-10,1,3,received,2025-04-13,6644.84
141,2024-08-09,3,2,received,2024-08-25,24236.73
142,2024-10-17,8,5,open,2024-10-25,37242.1
143,2025-07-18,4,4,received,2025-08-01,63932.19
144,2024-10-30,8,11,received,2024-11-06,55440.08
145,2024-09-27,10,2,received,2024-10-11,31692.94
146,2025-06-16,7,12,received,2025-07-06,26480.79
147,2025-11-02,6,5,received,2025-11-07,10016.37
148,2025-05-27,1,8,received,2025-06-08,95495.7
149,2024-10-26,8,13,received,2024-11-14,20964.29
150,2026-07-29,7,13,received,2026-08-10,48040.52
151,2025-03-24,12,1,received,2025-03-28,35691.43
152,2024-10-27,2,9,open,2024-11-10,15977.65
153,2026-01-28,1,8,open,2026-02-08,69963.52
154,2025-10-21,13,10,received,2025-10-30,19938.52
155,2025-01-24,8,2,received,2025-02-13,40540.68
156,2026-02-17,4,6,partial,2026-02-26,76832.84
157,2025-03-06,11,13,open,2025-03-18,86277.22
158,2026-06-02,9,4,open,2026-06-11,18583.81
159,2025-12-11,9,1,received,2025-12-16,18608.48
160,2025-10-16,1,9,cancelled,2025-10-29,37910.41
161,2026-07-16,10,5,open,2026-07-21,35607.41
162,2025-08-29,1,8,received,2025-09-11,34334.91
163,2024-10-17,14,13,received,2024-11-03,19132.77
164,2025-11-18,6,12,received,2025-12-07,40141.58
165,2025-10-11,9,14,received,2025-10-28,20753.4
166,2025-12-18,10,6,received,2026-01-03,33992.02
167,2026-04-22,7,11,received,2026-05-13,62352.98
168,2025-10-30,7,8,received,2025-11-09,16263.57
169,2026-03-27,8,12,received,2026-04-08,26090.1
170,2024-11-04,6,14,open,2024-11-22,80838.84
171,2024-08-10,7,4,received,2024-08-12,75397.74
172,2026-05-30,13,1,received,2026-06-06,73556.35
173,2025-10-22,11,10,open,2025-10-24,32030.1
174,2025-11-21,9,7,received,2025-12-06,20600.34
175,2026-04-30,2,1,received,2026-05-13,30948.82
176,2024-12-30,4,5,open,2025-01-03,36353.88
177,2025-06-02,7,7,received,2025-06-17,40748.82
178,2025-08-25,2,4,received,2025-09-05,23361.59
179,2025-10-10,14,13,received,2025-10-14,22123.78
180,2025-08-06,10,12,received,2025-08-26,31572.99
181,2024-09-09,5,8,received,2024-09-21,44728.17
182,2024-09-13,5,3,received,2024-09-21,32237.41
183,2025-05-06,2,13,received,2025-05-15,17748.25
184,2025-06-06,2,13,received,2025-06-10,86623.4
185,2025-12-11,1,9,cancelled,2025-12-31,38966.06
186,2025-01-06,12,11,received,2025-01-25,35661.3
187,2025-03-13,1,1,open,2025-03-28,34287.09
188,2026-05-28,10,9,partial,2026-06-12,10371.08
189,2025-01-30,11,6,partial,2025-02-11,71539.23
190,2024-11-11,10,10,partial,2024-12-01,30759.62
191,2025-07-26,4,3,received,2025-07-31,45843.38
192,2024-11-12,12,1,open,2024-11-27,16831.92
193,2026-02-15,11,14,received,2026-02-26,12492.5
194,2025-03-14,10,5,received,2025-03-28,32864.69
195,2026-04-09,8,7,received,2026-04-26,36963.08
196,2025-01-25,1,8,received,2025-02-08,47936.83
197,2026-06-01,10,5,received,2026-06-16,57801.54
198,2024-10-10,5,9,cancelled,2024-10-29,43886.97
199,2025-04-16,5,1,open,2025-04-23,7445.26
200,2025-01-17,5,6,open,2025-02-05,30816.62
201,2025-01-02,9,3,open,2025-01-16,53981.84
202,2026-06-01,4,11,open,2026-06-05,30256.58
203,2026-03-29,13,3,received,2026-04-11,79511.6
204,2025-10-23,1,3,received,2025-11-07,16156.47
205,2025-03-17,11,8,received,2025-03-22,37295.46
206,2024-12-12,8,2,received,2024-12-14,7174.21
207,2025-11-17,13,10,partial,2025-11-24,13260.01
208,2024-10-08,4,10,received,2024-10-23,55544.2
209,2026-01-23,9,10,received,2026-02-09,77465.07
210,2025-01-15,13,1,received,2025-01-29,84469.91
211,2024-10-28,2,3,open,2024-11-17,19685.8
212,2024-12-20,12,9,received,2025-01-09,25072.59
213,2024-09-06,9,12,open,2024-09-25,56800.28
214,2025-09-15,5,13,open,2025-09-29,28555.12
215,2025-07-09,8,6,received,2025-07-25,34802.58
216,2025-05-08,9,14,received,2025-05-15,58055.08
217,2026-04-29,5,6,cancelled,2026-05-04,29740.7
218,2025-12-08,5,6,received,2025-12-21,32437.9
219,2024-09-18,2,11,received,2024-09-25,21316.34
220,2025-03-24,10,13,received,2025-03-26,57741.72
221,2025-06-17,12,5,open,2025-07-07,47591.55
222,2024-11-02,4,14,received,2024-11-08,83642.92
223,2025-11-27,8,5,open,2025-12-07,17451.97
224,2026-03-19,2,10,partial,2026-04-09,3121.88
225,2026-07-21,11,13,received,2026-07-29,77629.37
226,2026-05-06,1,1,open,2026-05-23,36706.0
227,2025-11-14,7,7,received,2025-12-01,25829.76
228,2024-11-21,10,2,open,2024-12-04,27118.56
229,2025-03-26,12,4,open,2025-03-28,41495.84
230,2025-08-15,14,7,received,2025-08-18,29118.87
231,2025-08-30,5,11,received,2025-09-04,37904.67
232,2026-04-29,5,8,received,2026-05-11,14945.03
233,2026-03-17,4,11,open,2026-03-25,45279.95
234,2024-10-07,2,12,received,2024-10-16,26854.94
235,2025-10-13,12,7,open,2025-10-25,40155.77
236,2025-11-25,7,4,received,2025-12-02,14553.09
237,2026-03-06,1,2,received,2026-03-16,15567.15
238,2026-01-31,3,11,open,2026-02-08,61450.77
239,2025-12-11,3,11,partial,2025-12-30,36415.67
240,2024-12-25,5,12,received,2025-01-03,45931.44
241,2025-08-21,9,3,received,2025-08-27,22409.38
242,2024-08-26,4,2,open,2024-09-04,10794.37
243,2025-11-12,5,7,received,2025-12-01,66564.64
244,2026-04-04,8,7,partial,2026-04-21,69012.35
245,2024-08-06,4,7,received,2024-08-18,61806.37
246,2025-12-30,3,12,open,2026-01-16,34656.6
247,2025-09-22,8,12,received,2025-10-03,46100.68
248,2026-03-13,11,12,received,2026-03-25,41258.88
249,2025-06-15,5,11,received,2025-06-28,28974.51
250,2025-06-20,5,13,received,2025-06-24,41690.62
251,2026-06-30,6,12,open,2026-07-12,48156.97
252,2026-02-07,5,7,open,2026-02-24,36116.59
253,2025-12-11,10,6,partial,2025-12-18,9636.03
254,2025-01-16,7,4,received,2025-01-31,16566.42
255,2026-01-08,2,2,received,2026-01-28,54670.55
256,2026-03-11,10,13,received,2026-03-31,20146.53
257,2024-11-14,11,7,open,2024-11-28,50205.9
258,2025-09-23,5,1,open,2025-10-12,46756.96
259,2025-03-20,4,10,received,2025-03-23,73234.71
260,2025-11-11,6,5,received,2025-11-15,51957.04
261,2025-12-29,13,7,open,2026-01-11,27309.65
262,2026-02-18,2,8,received,2026-03-07,52207.47
263,2026-03-30,10,13,open,2026-04-11,65483.08
264,2025-05-16,7,4,partial,2025-05-20,89144.25
265,2026-06-16,10,14,received,2026-06-20,72478.33
266,2026-04-06,13,13,received,2026-04-19,27177.27
267,2026-05-04,6,1,received,2026-05-14,15887.43
268,2026-05-03,8,12,partial,2026-05-12,24138.87
269,2024-10-03,10,12,received,2024-10-21,77283.23
270,2025-02-24,9,12,received,2025-03-09,18988.93
271,2025-10-10,2,9,open,2025-10-28,46298.35
272,2024-11-28,10,3,open,2024-12-17,42272.05
273,2026-04-09,1,7,open,2026-04-22,43232.53
274,2026-03-08,11,6,received,2026-03-16,20164.04
275,2026-05-09,5,1,received,2026-05-12,58670.1
276,2026-07-15,8,3,open,2026-08-04,42674.5
277,2024-11-23,3,6,received,2024-11-25,29195.95
278,2025-09-16,13,9,open,2025-10-03,40976.62
279,2026-01-16,3,1,received,2026-01-25,41806.92
280,2025-05-24,6,13,open,2025-06-11,33156.6
281,2026-05-25,5,9,received,2026-06-03,20259.1
282,2025-07-26,7,12,open,2025-08-06,17335.3
283,2024-09-05,4,10,cancelled,2024-09-15,85450.16
284,2025-11-20,4,11,received,2025-12-03,55169.21
285,2025-03-03,12,14,open,2025-03-12,21823.05
286,2026-04-11,12,6,received,2026-04-22,53074.94
287,2025-04-12,6,8,received,2025-04-25,30251.77
288,2025-05-19,11,6,received,2025-05-27,46337.51
289,2025-03-22,10,12,open,2025-04-03,98728.07
290,2025-06-20,5,8,received,2025-06-30,14273.2
291,2025-05-24,6,5,received,2025-06-02,27000.99
292,2025-05-02,9,12,received,2025-05-07,47144.96
293,2026-01-07,10,9,received,2026-01-13,34836.18
294,2026-04-17,5,1,open,2026-05-08,62127.5
295,2025-09-16,12,9,partial,2025-10-07,80632.38
296,2026-01-21,3,2,partial,2026-02-08,74190.14
297,2026-06-29,12,8,open,2026-07-11,15346.53
298,2024-08-25,11,10,open,2024-09-09,30546.59
299,2025-02-27,4,13,cancelled,2025-03-04,54454.52
300,2024-08-11,7,4,open,2024-08-19,44192.52
301,2025-05-06,12,11,open,2025-05-21,79435.35
302,2026-04-22,13,12,received,2026-05-02,33524.25
303,2025-08-26,4,11,received,2025-09-06,23910.41
304,2024-09-11,8,9,received,2024-09-17,48651.9
305,2025-07-24,10,4,cancelled,2025-08-07,15405.24
306,2026-05-21,11,10,received,2026-06-05,23782.79
307,2026-06-15,4,1,partial,2026-07-05,18404.33
308,2026-07-15,11,13,received,2026-07-18,52350.12
309,2024-08-20,2,12,received,2024-09-06,63296.95
310,2026-04-03,3,3,open,2026-04-05,24079.29
311,2025-11-11,10,7,received,2025-11-18,27612.98
312,2025-05-30,4,12,open,2025-06-14,24370.69
313,2025-10-21,4,12,received,2025-11-06,33928.86
314,2025-01-31,8,7,received,2025-02-19,45659.72
315,2025-06-20,8,1,received,2025-06-29,37031.68
316,2026-04-29,10,11,open,2026-05-18,59048.96
317,2025-07-09,6,1,partial,2025-07-19,41194.1
318,2025-08-18,9,1,open,2025-09-02,42814.17
319,2025-01-17,6,2,open,2025-01-30,27011.15
320,2024-11-29,11,7,partial,2024-12-17,59654.8
321,2024-11-27,9,1,partial,2024-12-16,28688.41
322,2025-11-14,6,9,cancelled,2025-11-24,34603.41
323,2025-01-13,10,9,received,2025-01-18,60334.81
324,2024-12-23,5,2,received,2025-01-04,34676.83
325,2025-03-19,14,5,cancelled,2025-03-31,36364.12
326,2024-10-12,3,14,received,2024-10-18,28946.72
327,2024-10-04,9,8,received,2024-10-17,60153.51
328,2024-10-04,12,10,open,2024-10-06,5446.47
329,2026-05-06,7,8,received,2026-05-15,52340.67
330,2024-11-14,14,7,partial,2024-11-19,71548.88
331,2025-01-24,7,12,open,2025-02-10,28155.51
332,2024-11-07,9,6,received,2024-11-20,11009.71
333,2026-06-20,10,12,received,2026-07-01,18822.4
334,2025-02-06,12,1,partial,2025-02-19,4746.71
335,2026-02-05,10,1,received,2026-02-24,24047.08
336,2026-06-19,10,1,open,2026-07-06,81984.01
337,2026-06-29,8,7,received,2026-07-16,11801.6
338,2025-11-27,11,8,open,2025-12-17,33782.12
339,2026-02-03,8,4,cancelled,2026-02-16,39701.26
340,2024-12-18,2,8,received,2024-12-20,14542.17
341,2026-04-17,5,2,received,2026-05-06,49555.26
342,2026-05-21,9,4,received,2026-06-05,58943.2
343,2026-06-27,11,8,open,2026-07-06,63605.75
344,2024-12-12,1,12,open,2025-01-02,47466.4
345,2026-01-05,13,1,received,2026-01-10,41217.19
346,2026-02-17,10,8,open,2026-03-07,27180.62
347,2024-09-23,12,11,open,2024-09-25,52271.7
348,2026-05-20,3,13,open,2026-06-06,62456.13
349,2024-09-04,3,13,received,2024-09-24,11665.42
350,2026-03-13,10,12,open,2026-03-24,39363.93
351,2026-07-06,12,5,cancelled,2026-07-18,22192.8
352,2024-08-23,13,6,received,2024-09-05,7938.86
353,2025-01-24,5,4,open,2025-02-05,98015.82
354,2025-02-26,1,1,received,2025-03-16,55140.48
355,2025-12-11,4,5,received,2025-12-25,69550.26
356,2025-11-10,3,12,received,2025-11-30,25948.9
357,2025-11-03,11,1,received,2025-11-13,39355.79
358,2026-07-19,14,3,received,2026-08-07,32359.3
359,2025-04-01,4,13,received,2025-04-04,37335.08
360,2025-04-06,2,13,received,2025-04-21,49229.19
361,2025-05-04,12,9,partial,2025-05-25,55999.01
362,2025-09-11,2,11,partial,2025-09-22,71514.52
363,2025-02-21,7,11,partial,2025-03-06,25472.63
364,2025-12-10,8,13,received,2025-12-12,38047.72
365,2026-07-08,12,3,received,2026-07-22,57771.0
366,2025-06-22,8,13,received,2025-07-10,38038.18
367,2024-09-24,10,8,cancelled,2024-09-29,29619.36
368,2026-04-17,10,1,received,2026-04-30,56665.54
369,2025-09-23,1,1,cancelled,2025-10-07,67401.77
370,2026-01-02,10,7,open,2026-01-08,68684.54
371,2025-08-31,4,10,open,2025-09-07,23391.48
372,2026-05-05,14,7,received,2026-05-09,31736.49
373,2025-03-03,4,1,received,2025-03-05,50190.13
374,2024-12-19,3,7,received,2025-01-05,98289.45
375,2025-04-09,1,1,open,2025-04-12,30053.75
376,2026-01-28,14,3,received,2026-02-03,12362.92
377,2026-02-18,7,11,open,2026-02-28,72771.37
378,2025-05-21,4,10,partial,2025-06-02,62183.73
379,2024-08-31,9,10,received,2024-09-07,9062.82
380,2024-10-14,2,12,received,2024-11-02,39241.37
381,2025-01-23,14,1,received,2025-02-05,21130.56
382,2025-06-10,6,8,received,2025-06-12,51389.6
383,2025-05-11,2,5,received,2025-05-29,23277.17
384,2026-04-02,10,11,open,2026-04-22,42684.68
385,2024-11-22,8,13,received,2024-11-27,58868.28
386,2025-11-26,12,12,open,2025-12-15,91255.71
387,2024-08-09,11,3,received,2024-08-16,87810.4
388,2024-10-17,6,13,received,2024-10-19,69992.53
389,2024-11-18,7,7,received,2024-11-20,33573.51
390,2026-03-02,8,2,received,2026-03-08,42086.37
391,2024-12-29,2,13,open,2025-01-17,21708.9
392,2026-06-01,12,3,received,2026-06-22,35715.55
393,2026-01-30,14,2,open,2026-02-02,70037.86
394,2024-12-05,2,4,received,2024-12-20,34354.69
395,2025-07-26,7,4,cancelled,2025-08-06,11633.71
396,2025-03-26,6,6,received,2025-04-01,57923.94
397,2024-11-18,1,8,open,2024-11-25,34967.99
398,2024-08-20,1,4,received,2024-08-30,15219.49
399,2025-04-30,1,13,received,2025-05-03,74485.57
400,2026-02-02,12,10,partial,2026-02-11,35438.03
401,2024-10-15,10,7,received,2024-10-28,39153.69
402,2025-10-10,14,6,cancelled,2025-10-12,38182.81
403,2024-09-24,7,10,partial,2024-10-11,39073.67
404,2025-02-16,2,13,received,2025-03-07,62066.17
405,2025-02-18,7,14,open,2025-02-20,74132.54
406,2025-10-14,8,8,received,2025-10-25,41778.95
407,2025-02-03,3,14,received,2025-02-07,12333.14
408,2025-04-23,7,13,received,2025-05-08,22766.84
409,2025-01-14,10,13,open,2025-01-23,68215.99
410,2025-11-17,4,7,open,2025-11-25,81265.24
411,2025-06-18,9,13,received,2025-06-25,48897.65
412,2025-03-19,11,14,received,2025-03-27,26598.44
413,2026-07-16,1,7,received,2026-08-01,82319.89
414,2025-10-16,2,9,received,2025-10-25,77878.66
415,2026-07-13,9,5,open,2026-07-16,45880.05
416,2026-07-20,2,12,partial,2026-08-01,21132.35
417,2025-12-03,5,13,received,2025-12-19,99540.14
418,2025-07-14,5,7,received,2025-07-23,32227.84
419,2024-11-26,1,2,received,2024-12-01,23544.96
420,2026-07-15,4,11,received,2026-07-20,25181.95
