id,line,purchase_order,item,quantity_ordered,quantity_received,unit_cost,line_total
67,1,1,13,209,205,61.53,12859.77
68,4,383,13,37,34,63.51,2349.87
69,2,180,14,284,193,108.07,30691.88
70,1,210,11,158,153,143.29,22639.82
71,2,308,12,273,187,125.09,34149.57
72,3,23,2,119,105,112.93,13438.67
73,4,355,10,277,243,101.46,28104.42
74,4,411,4,293,192,115.51,33844.43
75,2,177,4,115,99,114.31,13145.65
76,3,53,6,128,86,68.38,8752.64
77,2,84,6,66,55,72.37,4776.42
78,4,56,2,172,141,113.67,19551.24
79,2,122,6,224,196,69.06,15469.44
80,3,335,13,194,152,59.11,11467.34
81,1,86,1,101,91,61.5,6211.5
82,4,175,10,140,133,105.69,14796.6
83,4,91,6,77,67,70.71,5444.67
84,4,242,3,136,126,18.59,2528.24
85,4,380,11,203,189,139.18,28253.54
86,4,366,2,64,43,112.5,7200.0
87,2,153,11,119,81,145.73,17341.87
88,3,378,2,198,151,109.86,21752.28
89,2,317,13,80,71,63.01,5040.8
90,2,320,12,283,170,123.77,35026.91
91,3,170,10,145,120,105.52,15300.4
92,2,396,10,209,201,104.98,21940.82
93,4,215,4,156,113,115.89,18078.84
94,3,201,6,287,231,71.31,20465.97
95,1,416,5,137,93,139.99,19178.63
96,3,384,12,252,160,122.18,30789.36
97,1,390,3,51,41,18.63,950.13
98,3,245,13,243,197,62.58,15206.94
99,2,143,14,203,157,104.03,21118.09
100,3,236,9,41,27,30.15,1236.15
101,3,306,6,181,100,70.01,12671.81
102,3,377,9,199,165,29.38,5846.62
103,1,6,4,203,173,110.12,22354.36
104,3,306,3,117,91,19.01,2224.17
105,3,5,12,282,267,119.01,33560.82
106,3,204,7,110,84,42.81,4709.1
107,3,355,5,298,237,139.08,41445.84
108,2,183,6,108,103,68.44,7391.52
109,2,114,5,246,185,135.45,33320.7
110,1,357,11,67,38,138.95,9309.65
111,1,109,13,114,75,61.08,6963.12
112,4,143,5,74,40,143.26,10601.24
113,3,401,7,185,145,41.95,7760.75
114,4,273,3,288,173,18.54,5339.52
115,4,54,13,84,77,61.87,5197.08
116,3,287,2,101,81,107.96,10903.96
117,1,382,7,223,127,41.19,9185.37
118,3,415,14,283,224,109.18,30897.94
119,1,223,7,217,214,42.77,9281.09
120,4,362,12,277,265,117.12,32442.24
121,2,414,2,203,181,111.23,22579.69
122,2,361,2,204,191,105.41,21503.64
123,2,377,3,64,53,18.59,1189.76
124,1,345,5,273,165,143.73,39238.29
125,2,358,5,158,92,141.27,22320.66
126,2,345,8,154,116,12.85,1978.9
127,2,49,6,173,124,70.79,12246.67
128,2,214,10,79,78,103.3,8160.7
129,3,356,10,25,21,101.71,2542.75
130,1,384,8,24,22,12.72,305.28
131,3,377,12,235,164,121.61,28578.35
132,3,4,1,150,83,61.05,9157.5
133,1,349,1,73,62,58.54,4273.42
134,1,253,8,78,66,12.98,1012.44
135,1,39,5,143,93,136.59,19532.37
136,2,405,8,260,217,12.6,3276.0
137,3,232,12,101,60,116.77,11793.77
138,4,112,6,116,82,70.75,8207.0
139,3,227,2,60,57,113.33,6799.8
140,2,77,4,288,270,114.19,32886.72
141,1,369,14,170,161,107.38,18254.6
142,2,271,12,259,242,120.65,31248.35
143,3,414,2,244,169,110.38,26932.72
144,1,29,9,211,141,29.52,6228.72
145,1,70,4,234,190,110.11,25765.74
146,2,118,8,282,250,12.79,3606.78
147,1,246,2,99,67,107.56,10648.44
148,1,166,14,119,75,106.61,12686.59
149,3,268,7,156,98,42.21,6584.76
150,2,361,3,105,100,18.68,1961.4
151,1,163,13,294,282,62.36,18333.84
152,4,334,9,31,18,29.69,920.39
153,3,271,13,250,172,60.2,15050.0
154,2,408,7,236,168,42.79,10098.44
155,2,117,6,254,170,68.3,17348.2
156,2,164,12,249,228,118.12,29411.88
157,1,189,12,71,47,123.66,8779.86
158,2,369,10,125,110,107.67,13458.75
159,1,315,13,60,33,63.32,3799.2
160,3,284,9,286,273,30.17,8628.62
161,4,392,3,229,170,18.49,4234.21
162,3,102,7,38,37,40.95,1556.1
163,3,181,9,162,151,29.4,4762.8
164,2,40,13,299,200,60.19,17996.81
165,2,275,8,251,176,12.8,3212.8
166,3,212,1,99,61,60.45,5984.55
167,3,151,13,116,77,59.89,6947.24
168,4,342,12,133,109,121.45,16152.85
169,2,184,9,298,278,30.76,9166.48
170,4,13,10,129,93,107.52,13870.08
171,3,393,5,254,169,144.76,36769.04
172,4,139,3,282,156,18.89,5326.98
173,2,94,13,280,212,59.31,16606.8
174,2,37,8,40,24,12.77,510.8
175,2,188,3,228,214,18.61,4243.08
176,2,312,4,96,78,113.7,10915.2
177,4,155,13,181,179,59.38,10747.78
178,2,188,12,50,31,122.56,6128.0
179,4,187,11,124,93,144.73,17946.52
180,3,299,1,256,254,62.19,15920.64
181,4,62,10,238,186,102.26,24337.88
182,2,83,4,166,98,113.61,18859.26
183,1,108,13,60,38,61.9,3714.0
184,2,316,10,289,234,109.46,31633.94
185,4,350,7,29,18,41.31,1197.99
186,1,2,1,226,179,61.65,13932.9
187,4,21,13,264,181,61.39,16206.96
188,1,224,13,22,21,59.48,1308.56
189,1,21,5,20,13,145.62,2912.4
190,1,89,3,253,235,18.62,4710.86
191,4,397,4,224,125,110.76,24810.24
192,3,65,11,57,53,139.34,7942.38
193,2,255,7,285,190,40.83,11636.55
194,3,243,2,140,116,106.45,14903.0
195,4,278,11,140,118,138.52,19392.8
196,2,402,11,250,237,143.86,35965.0
197,4,179,3,298,188,19.06,5679.88
198,1,327,14,95,88,108.4,10298.0
199,2,310,14,23,19,107.04,2461.92
200,2,219,7,29,18,42.22,1224.38
201,1,180,8,71,68,12.41,881.11
202,2,403,12,282,255,117.93,33256.26
203,2,236,2,36,21,110.04,3961.44
204,2,58,9,193,172,30.0,5790.0
205,4,125,11,287,189,136.15,39075.05
206,1,151,10,109,101,108.11,11783.99
207,2,237,6,153,128,69.74,10670.22
208,2,215,6,130,106,71.75,9327.5
209,2,296,14,86,65,104.24,8964.64
210,1,141,14,207,182,107.59,22271.13
211,1,343,2,240,174,108.24,25977.6
212,3,10,12,91,60,123.98,11282.18
213,4,308,13,160,103,62.89,10062.4
214,1,43,8,190,182,12.74,2420.6
215,1,105,9,143,127,30.31,4334.33
216,1,30,10,54,39,103.1,5567.4
217,2,251,5,69,65,144.3,9956.7
218,2,128,5,53,41,141.3,7488.9
219,2,133,3,133,95,19.88,2644.04
220,2,344,12,89,65,117.63,10469.07
221,2,195,2,80,67,106.07,8485.6
222,2,238,9,209,142,28.8,6019.2
223,1,183,7,160,98,43.26,6921.6
224,4,55,1,133,90,61.63,8196.79
225,3,402,8,179,131,12.39,2217.81
226,1,75,14,218,184,103.78,22624.04
227,3,269,4,218,144,113.59,24762.62
228,1,321,7,239,233,42.49,10155.11
229,3,69,2,27,24,105.84,2857.68
230,4,412,8,59,47,12.91,761.69
231,2,23,14,198,168,102.96,20386.08
232,2,206,14,46,41,107.26,4933.96
233,1,365,5,283,178,135.84,38442.72
234,1,43,2,239,135,106.44,25439.16
235,2,50,10,253,139,101.51,25682.03
236,3,300,9,229,172,30.86,7066.94
237,1,60,6,37,22,70.14,2595.18
238,2,186,7,69,55,42.73,2948.37
239,2,264,2,165,152,108.18,17849.7
240,1,354,2,241,147,111.6,26895.6
241,2,276,1,225,125,60.28,13563.0
242,2,323,10,271,201,105.81,28674.51
243,1,246,13,97,57,59.56,5777.32
244,2,417,11,272,231,137.82,37487.04
245,1,384,2,106,102,109.34,11590.04
246,1,84,4,94,71,114.5,10763.0
247,2,184,3,143,139,19.19,2744.17
248,4,16,1,246,214,61.13,15037.98
249,2,121,8,135,76,12.97,1750.95
250,2,4,2,155,114,112.44,17428.2
251,2,184,5,253,240,136.15,34445.95
252,4,99,13,256,200,61.81,15823.36
253,3,114,12,27,19,116.04,3133.08
254,1,81,1,215,166,62.52,13441.8
255,3,323,5,199,153,137.2,27302.8
256,1,57,12,247,242,118.99,29390.53
257,4,417,5,284,258,140.6,39930.4
258,3,362,8,288,192,12.91,3718.08
259,1,53,10,269,244,105.71,28435.99
260,3,95,9,276,170,29.55,8155.8
261,1,234,12,102,64,124.11,12659.22
262,1,240,9,88,74,29.94,2634.72
263,2,335,5,62,58,143.29,8883.98
264,4,369,4,150,89,108.07,16210.5
265,1,370,6,268,202,68.24,18288.32
266,2,228,7,57,42,42.98,2449.86
267,3,269,14,204,171,103.48,21109.92
268,2,386,5,299,276,143.33,42855.67
269,4,359,4,199,147,113.98,22682.02
270,4,393,12,214,211,121.11,25917.54
271,4,24,9,223,132,28.7,6400.1
272,1,371,6,179,162,68.5,12261.5
273,1,195,12,224,142,122.01,27330.24
274,3,160,14,75,55,105.58,7918.5
275,2,395,9,224,193,29.04,6504.96
276,2,64,3,161,94,19.11,3076.71
277,2,348,2,117,66,111.09,12997.53
278,1,150,11,24,14,137.92,3310.08
279,2,399,12,248,209,124.88,30970.24
280,2,320,13,98,54,63.07,6180.86
281,3,88,14,91,74,110.08,10017.28
282,3,53,8,20,11,13.21,264.2
283,4,330,4,193,160,112.88,21785.84
284,2,234,1,242,139,58.66,14195.72
285,3,58,6,283,176,68.73,19450.59
286,3,255,11,284,185,138.84,39430.56
287,4,103,3,228,149,18.86,4300.08
288,4,324,2,126,71,111.26,14018.76
289,4,216,11,273,185,135.96,37117.08
290,2,314,2,207,135,112.04,23192.28
291,3,217,14,37,31,102.14,3779.18
292,4,185,10,218,171,109.18,23801.24
293,4,85,14,91,58,105.48,9598.68
294,4,272,5,215,193,142.23,30579.45
295,3,165,1,112,65,59.14,6623.68
296,2,256,9,283,194,29.99,8487.17
297,2,375,12,75,70,123.38,9253.5
298,2,155,5,199,179,140.1,27879.9
299,4,89,9,164,117,29.57,4849.48
300,4,260,10,274,227,107.56,29471.44
301,2,41,11,176,122,144.04,25351.04
302,1,135,6,44,27,72.64,3196.16
303,3,58,1,266,188,61.74,16422.84
304,1,332,8,149,85,12.93,1926.57
305,2,152,13,247,224,59.22,14627.34
306,3,380,9,255,254,28.86,7359.3
307,1,88,13,224,135,62.32,13959.68
308,3,93,6,72,47,69.02,4969.44
309,1,233,1,155,149,61.54,9538.7
310,2,81,1,52,40,58.17,3024.84
311,2,52,14,264,174,105.96,27973.44
312,4,213,8,243,153,12.93,3141.99
313,1,410,12,91,77,123.92,11276.72
314,2,332,2,82,81,110.77,9083.14
315,3,45,2,271,192,107.59,29156.89
316,4,315,5,101,85,139.85,14124.85
317,1,389,13,295,221,63.36,18691.2
318,4,44,8,57,42,12.29,700.53
319,2,326,8,186,138,13.21,2457.06
320,4,176,11,222,164,138.69,30789.18
321,3,357,10,219,140,102.85,22524.15
322,2,107,13,140,123,59.42,8318.8
323,4,404,13,204,135,60.59,12360.36
324,3,309,2,280,271,105.48,29534.4
325,4,396,8,131,111,12.37,1620.47
326,4,24,14,87,51,109.56,9531.72
327,2,283,14,298,225,105.35,31394.3
328,3,275,12,118,70,124.43,14682.74
329,1,195,3,58,49,19.78,1147.24
330,4,61,2,67,41,109.01,7303.67
331,4,365,6,276,164,70.03,19328.28
332,4,211,1,249,189,59.99,14937.51
333,3,28,5,73,63,143.35,10464.55
334,1,386,8,212,171,13.02,2760.24
335,1,333,10,135,90,109.18,14739.3
336,4,409,4,219,128,112.41,24617.79
337,3,237,13,46,30,62.18,2860.28
338,4,347,5,164,109,145.01,23781.64
339,1,279,2,147,140,112.36,16516.92
340,4,172,6,123,73,68.76,8457.48
341,3,393,3,240,183,19.73,4735.2
342,3,96,6,159,124,69.83,11102.97
343,3,83,9,22,16,30.82,678.04
344,2,264,12,223,123,120.57,26887.11
345,1,131,1,92,52,62.49,5749.08
346,4,352,1,57,48,61.38,3498.66
347,2,37,3,171,131,18.96,3242.16
348,1,164,2,38,34,106.69,4054.22
349,1,214,9,143,86,30.18,4315.74
350,1,179,1,122,85,60.57,7389.54
351,2,2,5,242,165,139.84,33841.28
352,4,11,3,117,79,18.56,2171.52
353,4,27,14,244,235,105.47,25734.68
354,3,218,3,120,109,18.72,2246.4
355,4,99,2,206,128,109.68,22594.08
356,1,138,11,115,91,137.79,15845.85
357,4,419,11,44,40,145.29,6392.76
358,4,418,9,120,102,28.89,3466.8
359,3,116,10,280,185,103.96,29108.8
360,3,48,3,81,71,18.92,1532.52
361,1,167,11,234,193,145.08,33948.72
362,3,54,13,70,50,62.87,4400.9
363,4,321,13,233,194,59.76,13924.08
364,2,30,3,232,222,19.08,4426.56
365,1,130,4,62,50,108.99,6757.38
366,4,241,3,171,155,19.82,3389.22
367,2,47,13,74,58,59.8,4425.2
368,3,9,10,292,246,106.03,30960.76
369,2,94,7,278,192,41.52,11542.56
370,3,411,6,179,125,71.93,12875.47
371,2,294,4,47,44,112.38,5281.86
372,1,228,4,73,47,114.1,8329.3
373,3,119,5,96,88,140.43,13481.28
374,1,22,7,289,230,43.8,12658.2
375,1,103,3,65,53,19.67,1278.55
376,1,48,13,232,158,62.28,14448.96
377,3,113,12,28,26,118.88,3328.64
378,2,230,9,287,261,30.7,8810.9
379,2,196,2,153,150,108.41,16586.73
380,4,223,9,272,182,30.04,8170.88
381,3,289,2,236,188,106.65,25169.4
382,3,339,7,234,229,43.79,10246.86
383,3,162,14,99,86,108.41,10732.59
384,1,123,13,244,176,60.19,14686.36
385,4,202,7,296,175,42.59,12606.64
386,3,65,14,56,55,104.69,5862.64
387,3,13,9,53,37,28.84,1528.52
388,3,325,9,103,70,29.44,3032.32
389,2,278,11,58,57,139.43,8086.94
390,2,62,14,34,33,103.62,3523.08
391,4,38,13,235,166,60.89,14309.15
392,3,34,14,224,164,103.33,23145.92
393,4,360,14,154,137,107.07,16488.78
394,3,325,11,36,23,137.49,4949.64
395,1,42,1,236,155,62.05,14643.8
396,2,107,8,95,64,12.56,1193.2
397,3,90,3,237,174,19.72,4673.64
398,3,385,13,72,63,59.12,4256.64
399,4,319,14,213,119,106.66,22718.58
400,3,252,2,97,57,107.5,10427.5
401,4,122,8,288,280,12.6,3628.8
402,4,90,9,203,174,29.55,5998.65
403,2,156,13,294,282,60.44,17769.36
404,3,67,13,208,201,60.78,12642.24
405,3,408,1,204,162,62.1,12668.4
406,2,67,4,269,257,109.62,29487.78
407,1,379,11,29,27,144.63,4194.27
408,4,263,2,86,51,107.85,9275.1
409,4,100,3,141,131,19.32,2724.12
410,1,144,13,275,152,61.42,16890.5
411,4,418,14,226,206,107.12,24209.12
412,1,178,6,145,111,71.55,10374.75
413,2,239,10,115,103,102.19,11751.85
414,2,36,7,122,119,42.89,5232.58
415,1,344,13,120,84,59.1,7092.0
416,2,144,4,163,115,108.03,17608.89
417,3,165,13,146,102,62.54,9130.84
418,4,9,6,26,17,69.37,1803.62
419,4,298,8,127,105,12.28,1559.56
420,2,12,14,297,225,108.17,32126.49
421,1,113,1,59,50,59.99,3539.41
422,3,400,12,63,62,123.37,7772.31
423,3,68,8,207,203,13.06,2703.42
424,3,396,5,105,74,137.81,14470.05
425,1,226,14,58,55,107.63,6242.54
426,1,328,3,69,65,19.25,1328.25
427,4,82,9,197,171,28.62,5638.14
428,2,145,13,224,176,61.61,13800.64
429,4,265,11,291,251,144.53,42058.23
430,3,31,1,68,58,60.98,4146.64
431,3,229,10,151,145,107.37,16212.87
432,1,91,9,284,192,30.68,8713.12
433,4,213,9,129,97,30.64,3952.56
434,4,198,2,198,115,111.08,21993.84
435,4,323,1,70,42,62.25,4357.5
436,4,407,3,244,212,19.34,4718.96
437,3,220,3,31,24,19.2,595.2
438,3,154,14,158,99,102.39,16177.62
439,2,229,3,161,153,19.91,3205.51
440,1,263,14,211,150,109.45,23093.95
441,2,264,10,299,283,103.52,30952.48
442,3,309,9,49,42,28.71,1406.79
443,1,209,6,152,135,68.55,10419.6
444,2,266,13,41,37,61.67,2528.47
445,2,238,13,136,129,62.61,8514.96
446,3,318,6,283,215,69.35,19626.05
447,1,242,10,44,38,102.82,4524.08
448,4,206,9,75,68,29.87,2240.25
449,1,307,12,31,28,121.79,3775.49
450,4,294,12,183,129,116.36,21293.88
451,3,418,3,80,61,19.51,1560.8
452,3,136,8,169,102,13.1,2213.9
453,4,412,7,237,219,42.87,10160.19
454,3,185,8,204,146,12.37,2523.48
455,3,39,1,164,122,59.37,9736.68
456,2,5,8,242,237,12.78,3092.76
457,1,14,5,76,45,141.42,10747.92
458,1,32,11,27,23,144.73,3907.71
459,1,157,5,244,215,140.84,34364.96
460,1,297,8,103,72,13.07,1346.21
461,4,373,13,215,120,63.27,13603.05
462,1,356,9,87,82,29.99,2609.13
463,1,395,3,275,253,18.65,5128.75
464,1,315,3,181,139,19.18,3471.58
465,2,399,1,177,163,61.05,10805.85
466,1,78,5,142,106,145.16,20612.72
467,4,239,13,132,86,59.51,7855.32
468,4,375,8,133,84,12.78,1699.74
469,3,29,14,189,136,108.22,20453.58
470,1,361,2,226,127,109.37,24717.62
471,4,171,10,222,203,103.07,22881.54
472,4,401,13,205,137,61.34,12574.7
473,4,373,12,274,160,119.04,32616.96
474,4,292,1,279,185,62.72,17498.88
475,1,373,3,132,112,18.69,2467.08
476,1,354,4,51,38,112.98,5761.98
477,4,420,1,38,25,59.05,2243.9
478,1,239,13,170,112,62.57,10636.9
479,4,314,9,244,211,30.11,7346.84
480,3,44,6,113,84,68.18,7704.34
481,3,289,4,298,243,114.41,34094.18
482,4,417,14,185,143,104.34,19302.9
483,1,313,6,122,114,71.33,8702.26
484,3,259,2,129,76,109.98,14187.42
485,1,36,6,119,75,73.07,8695.33
486,4,4,8,164,120,12.52,2053.28
487,3,359,8,139,102,13.1,1820.9
488,4,12,8,230,162,12.35,2840.5
489,1,189,11,298,164,141.23,42086.54
490,4,157,4,223,218,109.23,24358.29
491,1,151,1,276,166,61.45,16960.2
492,3,385,11,179,130,140.52,25153.08
493,1,267,9,89,65,30.44,2709.16
494,4,108,13,295,215,63.57,18753.15
495,3,322,12,79,53,124.59,9842.61
496,4,40,4,152,130,113.75,17290.0
497,1,194,7,152,139,42.27,6425.04
498,4,211,6,67,61,70.87,4748.29
499,4,298,13,141,138,59.99,8458.59
500,4,274,3,171,121,19.18,3279.78
501,3,21,5,150,127,140.15,21022.5
502,2,296,2,215,131,111.6,23994.0
503,2,282,7,278,214,43.85,12190.3
504,2,177,7,33,27,42.05,1387.65
505,4,79,2,23,21,106.8,2456.4
506,2,65,2,176,133,112.39,19780.64
507,4,250,5,222,127,145.67,32338.74
508,3,90,6,56,49,71.63,4011.28
509,4,406,1,146,111,58.94,8605.24
510,4,3,10,256,146,109.53,28039.68
511,1,167,5,27,22,142.95,3859.65
512,4,289,14,241,171,105.69,25471.29
513,3,127,3,158,95,18.5,2923.0
514,4,225,12,291,285,116.23,33822.93
515,2,256,7,159,129,42.4,6741.6
516,2,371,9,223,147,29.13,6495.99
517,1,45,14,288,266,103.35,29764.8
518,2,354,11,165,115,136.26,22482.9
519,1,158,5,28,22,140.65,3938.2
520,1,42,14,26,23,106.09,2758.34
521,2,110,6,148,102,70.64,10454.72
522,4,191,1,250,186,62.57,15642.5
523,2,1,5,88,84,141.14,12420.32
524,3,118,6,87,67,71.41,6212.67
525,3,239,10,60,50,102.86,6171.6
526,1,97,13,211,117,59.69,12594.59
527,1,262,3,73,50,19.62,1432.26
528,3,19,7,52,32,42.33,2201.16
529,4,348,11,128,78,139.41,17844.48
530,3,57,4,103,101,111.54,11488.62
531,2,81,13,128,122,60.16,7700.48
532,4,268,7,292,192,43.45,12687.4
533,4,245,11,191,157,138.76,26503.16
534,2,118,1,165,145,61.36,10124.4
535,1,379,13,53,44,61.23,3245.19
536,2,247,1,141,135,62.06,8750.46
537,1,327,7,157,138,43.59,6843.63
538,4,317,6,78,75,71.8,5600.4
539,2,374,4,289,245,113.13,32694.57
540,4,247,6,296,180,72.76,21536.96
541,4,159,5,96,58,136.23,13078.08
542,2,233,2,263,235,108.31,28485.53
543,4,92,11,142,112,146.47,20798.74
544,3,388,11,278,157,140.66,39103.48
545,1,399,9,176,104,29.84,5251.84
546,1,3,14,113,66,102.62,11596.06
547,4,204,9,145,109,28.82,4178.9
548,3,39,10,252,226,103.07,25973.64
549,1,80,2,29,18,106.75,3095.75
550,4,299,6,64,48,71.33,4565.12
551,1,235,9,254,163,29.09,7388.86
552,2,103,9,115,88,30.24,3477.6
553,1,63,11,224,133,145.51,32594.24
554,2,119,7,78,53,41.07,3203.46
555,3,283,5,262,219,139.64,36585.68
556,1,325,1,264,251,61.41,16212.24
557,2,61,12,79,50,125.26,9895.54
558,3,404,14,102,71,103.48,10554.96
559,1,351,10,154,131,104.7,16123.8
560,3,142,5,192,110,146.0,28032.0
561,4,93,14,272,192,108.23,29438.56
562,1,148,2,132,111,106.83,14101.56
563,2,115,12,200,199,122.16,24432.0
564,4,181,13,170,96,63.02,10713.4
565,2,140,9,41,27,29.17,1195.97
566,4,25,9,157,145,28.97,4548.29
567,4,106,11,89,81,140.36,12492.04
568,1,72,2,248,137,111.65,27689.2
569,2,33,7,99,74,42.13,4170.87
570,3,126,8,74,63,13.13,971.62
571,2,174,1,30,29,59.93,1797.9
572,2,368,4,185,111,108.82,20131.7
573,1,238,5,90,88,145.51,13095.9
574,2,10,4,84,76,114.84,9646.56
575,3,202,10,92,67,101.89,9373.88
576,4,279,10,95,89,108.7,10326.5
577,4,228,12,140,129,116.71,16339.4
578,1,283,11,94,58,143.67,13504.98
579,1,35,5,133,120,142.93,19009.69
580,1,192,7,200,171,41.91,8382.0
581,3,303,11,113,66,140.55,15882.15
582,2,226,12,235,136,120.08,28218.8
583,1,172,11,276,173,140.04,38651.04
584,2,103,7,140,105,41.89,5864.6
585,3,54,10,257,209,106.78,27442.46
586,4,125,3,61,44,19.87,1212.07
587,3,311,7,286,169,43.73,12506.78
588,2,251,9,120,117,30.67,3680.4
589,4,301,1,183,154,61.61,11274.63
590,1,301,11,234,129,136.02,31828.68
591,4,243,6,251,204,68.66,17233.66
592,1,78,3,94,88,19.39,1822.66
593,4,133,12,125,90,124.13,15516.25
594,3,294,5,158,137,137.34,21699.72
595,4,14,3,39,33,18.92,737.88
596,2,353,1,175,158,59.92,10486.0
597,2,16,8,185,107,12.37,2288.45
598,2,60,9,234,164,28.81,6741.54
599,4,76,7,277,223,42.06,11650.62
600,4,288,13,97,93,60.54,5872.38
601,1,93,10,298,226,106.64,31778.72
602,3,290,1,170,109,59.11,10048.7
603,2,338,6,20,13,72.64,1452.8
604,3,329,14,265,170,109.8,29097.0
605,1,319,3,227,145,18.91,4292.57
606,2,56,7,98,67,41.58,4074.84
607,2,326,11,42,30,135.79,5703.18
608,4,192,14,81,47,104.32,8449.92
609,2,63,13,164,146,60.2,9872.8
610,1,156,7,158,136,42.61,6732.38
611,3,61,9,171,165,28.85,4933.35
612,4,413,6,185,138,72.51,13414.35
613,1,87,7,98,93,41.59,4075.82
614,1,378,2,288,161,111.14,32008.32
615,1,75,3,80,46,19.63,1570.4
616,3,216,2,190,129,110.2,20938.0
617,2,69,5,92,65,143.62,13213.04
618,1,56,14,292,290,105.01,30662.92
619,2,72,5,244,147,141.36,34491.84
620,3,96,13,70,47,61.07,4274.9
621,2,248,1,99,56,62.06,6143.94
622,3,38,2,84,76,107.1,8996.4
623,1,179,11,63,48,143.72,9054.36
624,2,210,13,268,241,61.94,16599.92
625,1,135,2,191,190,112.31,21451.21
626,3,257,5,137,134,142.77,19559.49
627,1,73,4,255,169,116.07,29597.85
628,4,362,12,265,245,125.02,33130.3
629,2,191,10,296,169,102.03,30200.88
630,3,249,12,119,84,121.32,14437.08
631,3,225,11,241,140,139.41,33597.81
632,4,413,4,265,191,111.56,29563.4
633,1,222,13,292,284,62.95,18381.4
634,2,265,5,214,173,142.15,30420.1
635,4,293,4,130,105,110.78,14401.4
636,2,40,5,254,210,145.94,37068.76
637,1,29,10,176,140,104.07,18316.32
638,2,197,13,280,180,63.25,17710.0
639,4,173,12,268,166,117.64,31527.52
640,4,111,2,168,151,109.05,18320.4
641,2,349,2,66,39,112.0,7392.0
642,1,399,5,196,166,140.09,27457.64
643,3,254,13,228,127,62.17,14174.76
644,1,138,3,67,43,18.82,1260.94
645,2,341,14,162,115,107.08,17346.96
646,3,111,9,75,63,30.06,2254.5
647,4,47,14,132,72,108.2,14282.4
648,2,106,6,87,52,68.91,5995.17
649,1,81,11,86,52,142.14,12224.04
650,1,49,5,272,153,143.8,39113.6
651,2,221,12,186,182,118.13,21972.18
652,4,325,5,84,73,144.88,12169.92
653,2,37,6,279,214,71.85,20046.15
654,1,95,9,290,251,29.75,8627.5
655,2,301,5,132,90,143.17,18898.44
656,1,76,2,89,56,110.95,9874.55
657,1,203,12,278,248,118.84,33037.52
658,1,217,14,218,194,102.24,22288.32
659,3,60,9,254,218,28.81,7317.74
660,1,9,5,174,135,135.7,23611.8
661,4,205,4,32,29,111.16,3557.12
662,4,222,12,252,207,122.38,30839.76
663,3,77,7,147,110,43.39,6378.33
664,1,272,9,31,28,28.8,892.8
